code	label_sv	comment_sv	label_en	label_de	urn_fi	label_fi	label_is	label_fr	hidden_label	term	rda_app_i_1_en	rda_app_i_2_en	rda_app_i_3_en	domain
abr	Förkortad utgåva		Abridger								abridger			
acp	Konstkopist		Art copyist											Instance
act	Skådespelare		Actor		http://urn.fi/URN:NBN:fi:au:mts:m1241	Näyttelijä					actor			
adi	Art Director	"Jfr ""ard"" (konstnärlig ledare)"	Art Director								art director			
adp	Bearbetare		Adapter						bearb		adaptor			
aft	Efterord, kolofon etc.		Author of afterword, colophon, etc.						writer of afterword|järelsõna autor					
anl	Analytiker		Analyst											
anm	Animatör		Animator								animator			
ann	Annotation	Författare till handskrivna kommentarer på exemplaret	Annotator								annotator			Embodiment
ant	Baserat på	"Bibliografisk föregångare; jfr ""ccp"" (idé, koncept)"	Bibliographic antecedent											
ape	Svarande part i appellationsdomstol		Appellee								appellee			
apl	Överklagande part i appellationsdomstol		Appellant								appellant			
app	Sökande		Applicant											
aqt	Citat, textudrag	Författare till citat etc. i utställningskataloger, fotografisamlingar etc.	Author in quotations or text abstracts											
arc	Arkitekt		Architect								architect			
ard	Konstnärlig ledare		Artistic director											
arr	Arrangemang	Musik	Arranger						arranger of music		arranger			
art	Konstnär		Artist	Künstlerin|Künstler	http://urn.fi/URN:NBN:fi:au:mts:m511	Taiteilija					artist			
asg	Innehavare av tryckeri- eller utgivarlicens		Assignee											Instance
asn	Associerat namn	Okänt samband	Associated name											Creation
ato	Autograf/signatur	"Person vars signatur finns på exemplaret; jfr ""sgn"" (signatur)"	Autographer								autographer			Embodiment
att	Attribuerat/tillskrivet namn		Attributed name											
auc	Auktionsförrättare		Auctioneer											Item
aud	Dialogförfattare	Film, ljudupptagningar	Author of dialog											
aui	Förord, introducerande material		Author of introduction	Verfasserin eines Vorworts|Verfasser eines Vorworts|Verfasserin einer Einleitung|Verfasser einer Einleitung|Verfasserin eines Geleitworts|Verfasser eines Geleitworts				Préface	writer of foreword|author of foreword|foreword by|eessõna autor		writer of introduction	writer of preface	writer of supplementary textual content	
aus	Manusförfattare	Film	Screenwriter		http://urn.fi/URN:NBN:fi:au:mts:m79						screenwriter			
aut	Författare		Author	Verfasser|Verfasserin	http://urn.fi/URN:NBN:fi:au:mts:m552	Kirjoittaja	Höfundur	Auteur			author			
bdd	Bokband	Bokbandsformgivare	Binding designer											Instance
bjd	Skyddsomslag	"Formgivare av skyddsomslag; jfr ""cov"" (omslag)"	Bookjacket designer											Instance
bkd	Bokformgivare		Book designer								book designer			Instance
bkp	Bokproducent		Book producer											Instance
blw	Förlags-/reklamtext	Författare till baksidestext, reklammaterial etc.	Blurb writer											Instance
bnd	Bokbindare		Binder								binder			Embodiment
bpd	Exlibris, bokägarmärke	Avser formgivaren	Bookplate designer											Embodiment
brd	TV-/radioutsändning	Person etc. som arbetar med utsändning via TV, radio, webcast eller liknande	Broadcaster								broadcaster			Instance
brl	Punktskriftspräglare		Braille embosser								braille embosser			Instance
bsl	Bokhandlare		Bookseller											Embodiment
cas	Gjutare		Caster								caster			Instance
ccp	Idé, koncept	"Jfr ""ant"" (baserat på)"	Conceptor											
chr	Koreograf		Choreographer								choreographer	choreographer (expression)		
clb	Redaktionell medarbetare	"Obsolet; använd ""ctb"" (bidragsgivare)"	Collaborator											
cli	Klient		Client											
cll	Kalligraf		Calligrapher											
clr	Färg	Färgläggare av teckningar, tryck, fotografier, kartor, filmer etc.	Colorist						colourist					
clt	Ljustryck	Ljustryck = Plantrycksmetod för mångfaldigande utan raster av i huvudsak konstverk och fotografier	Collotyper								collotyper			Instance
cmm	Kommentar	AV-medier	Commentator								commentator			
cmp	Kompositör, tonsättare		Composer						Helilooja		composer	composer (expression)		
cmt	Sättare		Compositor											Instance
cnd	Dirigent		Conductor								conductor			
cng	Filmfotograf		Cinematographer								cirector of photography			
cns	Censor		Censor											
coe	Contestant -appellee	Juridisk term ung. motsvarande åklagare	Contestant -appellee											
col	Samlare		Collector								collector			Instance
com	Sammanställare		Compiler	Zusammenstellender	http://urn.fi/URN:NBN:fi:au:mts:m1037	Kokoaja			koostaja		compiler			
con	Konservator		Conservator											Embodiment
cor	Samlingsregistrator	"Förtecknare/inventerare av föremål eller exemplar som ingår i samlingsutställning/samlingsverk; Jfr ""cur"" (utställningsansvarig, utställningskommissarie)"	Collection registrar								collection registrar			Embodiment
cos	Contestant	Juridisk term ung. motsvarande åklagare	Contestant											
cot	Contestant -appellant	Juridisk term ung. motsvarande åklagare	Contestant -appellant											
cou	Domstols regelverk		Court governed								court governed			
cov	Omslag	"Formgivare av bokomslag; jfr ""bjd"" (skyddsomslag)"	Cover designer						cover artist					Instance
cpc	Upphovsrättssökande		Copyright claimant											
cpe	Complainant-appellee	Juridisk term ung. motsvarande kärande, målsägande	Complainant-appellee											
cph	Upphovsrättsinnehavare		Copyright holder											
cpl	Complainant	Juridisk term ung. motsvarande kärande, målsägande	Complainant											
cpt	Complainant-appellant	Juridisk term ung. motsvarande kärande, målsägande	Complainant-appellant											
cre	Upphov/creator		Creator											
crp	Korrespondens		Correspondent											
crr	Handskriftskorrektur	"Jfr ""prf"" (korrekturläsare)"	Corrector											
crt	Domstolsreporter		Court reporter								court reporter			
csl	Konsult		Consultant								consultant			
csp	Projektkonsult		Consultant to a project											
cst	Kostym	Som skapar kostymer för teater-, dans- och musikföreställningar, samt för filmer	Costume designer								costume designer			
ctb	Bidragsgivare	Som bidrar med texter eller annat material till antologier, fortlöpande publikationer eller andra sammanställningar	Contributor											
cte	Contestee-appellee	Juridisk term ung. motsvarande försvarare	Contestee-appellee											
ctg	Kartograf		Cartographer								cartographer			
ctr	Entreprenör, leverantör		Contractor											
cts	Contestee	Juridisk term ung. motsvarande försvarare	Contestee											
ctt	Contestee-appellant	Juridisk term ung. motsvarande försvarare	Contestee-appellant											
cur	Utställningsansvarig, utställningskommissarie		Curator								curator			Embodiment
cwt	Textkommentar		Commentator for written text											
dbp	Distributionsort		Distribution Place											Instance
dfd	Defendant	Juridisk term ung. motsvarande tilltalad	Defendant								defendant			
dfe	Defendant-appellee	Juridisk term ung. motsvarande tilltalad	Defendant-appellee											
dft	Defendant-appellant	Juridisk term ung. motsvarande tilltalad	Defendant-appellant											
dgg	Utfärdare av akademisk examen		Degree granting institution								degree granting institution			
dis	Presentatör av avhandling		Dissertant											
dln	Utförare av teknisk ritning	"Person etc. som utför en teknisk ritning utifrån någon annans design; jfr ""drm"" (teknisk detaljritning)"	Delineator											
dnc	Dansare		Dancer								dancer			
dnr	Donator		Donor											Embodiment
dpc	Avbildad		Depicted											
dpt	Deponerat av		Depositor											Embodiment
drm	Teknisk detaljritning	"Jfr ""dln"" (utförare av teknisk ritning)"	Draftsman								draftsman			
drt	Regissör		Director								director			
dsr	Formgivare	"Jfr ""bdd"" (bokband), ""bjd"" (skyddsomslag), ""bkd"" (bokformgivare), ""tyd"" (typsnitt)"	Designer								designer			
dst	Distributör		Distributor											Instance
dtc	Katalog- eller metadatakälla		Data contributor											
dte	Dedicerat till	"Jfr ""dto"" (dedikation, dvs den som författat dedikationen)"	Dedicatee								dedicatee	dedicatee of item		Endeavour
dtm	Katalog- eller metadataansvarig		Data manager											
dto	Dedikation	"Jfr ""dte"" (dedicerat till)"	Dedicator											
dub	Tvivelaktigt/felaktigt tillskriven		Dubious author											
edc	Sammanställande redaktör	"Jfr ""edt"" (redaktör)"	Editor of compilation								editor of compilation			
edm	Film-/videoreadktör		Editor of moving image work								editor of moving image work			
edt	Redaktör	"Jfr ""edc"" (sammanställande redaktör)"	Editor		http://urn.fi/URN:NBN:fi:au:mts:m629				edited by|Toimetaja		editor			
egr	Gravör	Gravyr = Grafisk tryckmetod där bilden eller texten ristas på en hård yta av t.ex. trä eller metall	Engraver								engraver			Instance
elg	Elektriker		Electrician											
elt	Elektrotypi	Elektrotypi = Metod för att använda klichéer inom boktryckarkonsten	Electrotyper											Instance
eng	Ingenjör		Engineer											
enj	Verkställande jurisdiktion	"Jfr ""jug"" (tillämplig jurisdiktion)"	Enacting jurisdiction								enacting jurisdiction			
etr	Etsare	Etsning = Grafisk djuptrycksmetod där de färgbärande nedsänkta partierna i plåten åstadkoms med hjälp av frätande vätskor	Etcher								etcher			Instance
evp	Plats/ort för händelse		Event place											
exp	Expert		Expert											
fac	Faksimil	Person etc. som gjort faksimilutgåvan	Facsimilist											Instance
fds	Filmdistributör		Film distributor								film distributor			Instance
fld	Fältchef		Field director											
flm	Filmredaktör		Film editor											Instance
fmd	Filmregissör		Film director								film director			
fmk	Oberoende filmskapare	Avser produktion av independent- eller Indiefilm	Filmmaker								filmmaker			
fmo	Tidigare ägare		Former owner								former owner			Embodiment
fmp	Filmproducent		Film producer											
fnd	Finansiär		Funder											
fpy	Första part	"Första eller enda parten i ett fördrag, en överenskommelse eller annan händelse; vid överlåtelse av rättigheter betraktas överlåtaren, licensutfärdaren, etc., som första part"	First party											
frg	Förfalskare		Forger											
gis	GIS-specialist	Geografisk information	Geographic information specialist											
grt	Grafisk tekniker	"Obsolet; använd ""art"" (konstnär)"	Graphic technician											
his	Värdinstitution		Host institution	Gastgebende Institution							host institution			
hnr	Festskriftsföremål	Hit även person etc. som på annat sätt hedrats i verket eller exemplaret	Honoree						honouree		honouree of item			
hst	Programvärd, programledare		Host								host			
