@id	@type	lccode	rdacode
CartographicDataset	ContentType	crd	1001
CartographicImage	ContentType	cri	1002
CartographicMovingImage	ContentType	crm	1003
CartographicTactileImage	ContentType	crt	1004
CartographicTactileThreeDimensionalForm	ContentType	crn	1005
CartographicThreeDimensionalForm	ContentType	crf	1006
ComputerDataset	ContentType	cod	1007
ComputerProgram	ContentType	cop	1008
NotatedMovement	ContentType	ntv	1009
NotatedMusic	ContentType	ntm	1010
PerformedMusic	ContentType	prm	1011
Sounds	ContentType	snd	1012
SpokenWord	ContentType	spw	1013
StillImage	ContentType	sti	1014
TactileImage	ContentType	tci	1015
TactileNotatedMusic	ContentType	tcm	1016
TactileNotatedMovement	ContentType	tcn	1017
TactileText	ContentType	tct	1018
TactileThreeDimensionalForm	ContentType	tcf	1019
Text	ContentType	txt	1020
ThreeDimensionalForm	ContentType	tdf	1021
ThreeDimensionalMovingImage	ContentType	tdm	1022
TwoDimensionalMovingImage	ContentType	tdi	1023

Audio	MediaType	s	1001
Computer	MediaType	c	1003
Microform	MediaType	h	1002
Microscopic	MediaType	p	1004
Projected	MediaType	g	1005
Stereographic	MediaType	e	1006
Unmediated	MediaType	n	1007
Video	MediaType	v	1008

AudioCartridge	CarrierType	sg	1002
AudioCylinder	CarrierType	se	1003
AudioDisc	CarrierType	sd	1004
AudioRoll	CarrierType	sq	1006
Audiocassette	CarrierType	ss	1007
AudiotapeReel	CarrierType	st	1008
SoundTrackReel	CarrierType	si	1005

ComputerCard	CarrierType	ck	1011
ComputerChipCartridge	CarrierType	cb	1012
ComputerDisc	CarrierType	cd	1013
ComputerDiscCartridge	CarrierType	ce	1014
ComputerTapeCartridge	CarrierType	ca	1015
ComputerTapeCassette	CarrierType	cf	1016
ComputerTapeReel	CarrierType	ch	1017
OnlineResource	CarrierType	cr	1018

ApertureCard	CarrierType	ha	1021
Microfiche	CarrierType	he	1022
MicroficheCassette	CarrierType	hf	1023
MicrofilmCartridge	CarrierType	hb	1024
MicrofilmCassette	CarrierType	hc	1025
MicrofilmReel	CarrierType	hd	1026
MicrofilmRoll	CarrierType	hj	1056
MicrofilmSlip	CarrierType	hh	1027
Microopaque	CarrierType	hg	1028

MicroscopeSlide	CarrierType	pp	1030

FilmCartridge	CarrierType	mc	1032
FilmCassette	CarrierType	mf	1033
FilmReel	CarrierType	mr	1034
FilmRoll	CarrierType	mo	1069
Filmslip	CarrierType	gd	1035
Filmstrip	CarrierType	gf	1036
FilmstripCartridge	CarrierType	gc	1037
OverheadTransparency	CarrierType	gt	1039
Slide	CarrierType	gs	1040

StereographCard	CarrierType	eh	1042
StereographDisc	CarrierType	es	1043

Card	CarrierType	no	1045
Flipchart	CarrierType	nn	1046
Roll	CarrierType	na	1047
Sheet	CarrierType	nb	1048
Volume	CarrierType	nc	1049
Object	CarrierType	nr	1059

VideoCartridge	CarrierType	vc	1051
Videocassette	CarrierType	vf	1052
Videodisc	CarrierType	vd	1060
VideotapeReel	CarrierType	vr	1053
