code	label_sv	altLabel_sv	comment_sv	iso_639_2_b	iso_639_2_t	iso_639_3	map_to_code
9fd	Forndanska		-1500 (Librisdefinierad kod)				
9fs	Fornsvenska		-1500 (Librisdefinierad kod)				
9ft	Fornlågtyska		"Obsolet Librisdefinierad kod: använd ""osx"""				osx
9mk	Meänkieli		"Obsolet Librisdefinierad kod: använd ""fit"""				fit
9sl	Lulesamiska		"Obsolet Librisdefinierad kod: använd ""smj"""				smj
9so	Östsamiska		"Obsolet Librisdefinierad kod: använd ""smn"" (enaresamiska), ""sms"" (skoltsamiska) eller ""smi"" (samiska)"				smn|sms|smi
9su	Umesamiska		"Obsolet Librisdefinierad kod: använd ""sju"""				sju
9ss	Sydsamiska		"Obsolet Librisdefinierad kod: använd ""sma"""				sma
aar	Afar	Afariska		aar			
abk	Abchaziska			abk			
ace	Achenesiska	Atjehnesiska		ace			
ach	Acholi			acb			
ada	Adangme			ada			
ady	Adygeiska			ady			
afa	Afro-asiatiska språk (övriga)			afa			
afh	Afrihili		Konstgjort språk	afh			
afr	Afrikaans			afr			
ain	Ainu			ain			
aka	Akan			aka			
akk	Akkadiska			akk			
alb	Albanska			alb	sqi	sqi	
ale	Aleutiska			ale			
alg	Algonkinska språk (övriga)			alg			
alt	Sydaltaiska			alt			
amh	Amhariska	Amharinja		amh			
ang	Fornengelska		Ca 450-1100	ang			
anp	Angika			anp			
apa	Apachiska språk (övriga)			apa			
ara	Arabiska			ara			
arc	Arameiska			arc			
arg	Aragonska			arg			
arm	Armeniska			arm	hye	hye	
arn	Mapudungun	Arakuanska|Mapuche		arn			
arp	Arapaho			arp			
art	Konstgjorda språk (övriga)			art			
arw	Arawakiska			arw			
asm	Assamesiska	Asamiya		asm			
ast	Asturiska	Bable		ast			
ath	Athapaskiska språk (övriga)			ath			
aus	Australiska språk (övriga)			aus			
ava	Avariska språk			ava			
ave	Avestiska	Pazand		ave			
awa	Awadhi			awa			
aym	Aymara			aym			
aze	Azerbajdzjanska	Azeri|Azeriska		aze			
bad	Bandaspråk			bad			
bai	Bamilekespråk			bai			
bak	Basjkiriska			bak			
bal	Baluchiska			bal			
bam	Bambara			bam			
ban	Balinesiska			ban			
baq	Baskiska			baq	eus	eus	
bas	Basa		bantuspråk	bas			
bat	Baltiska språk (övriga)			bat			
bej	Beyja			bej			
bel	Belarusiska	Vitryska		bel			
bem	Bemba			bem			
ben	Bengali	Bengaliska		ben			
ber	Berberspråk (övriga)			ber			
bho	Bhojpuri			bho			
bih	Bihari			bih			
bik	Bikol	Bicolano		bik			
bin	Edo	Bini		bin			
bis	Bislama			bis			
bla	Siksiká	Pikanii	Svartfotindianernas språk	bla			
bnt	Bantuspråk (övriga)			bnt			
bos	Bosniska			bos			
bra	Braj Basha			bra			
bre	Bretonska			bre			
btk	Batak			btk			
bua	Burjatiska			bua			
bug	Buginesiska			bug			
bul	Bulgariska			bul			
bur	Burmesiska			bur	mya	mya	
byn	Bilin			byn			
cad	Caddo			cad			
cai	Centralamerikanska indianspråk (övriga)			cai			
car	Karibiska			car			
cat	Katalanska			cat			
cau	Kaukasiska språk (övriga)			cau			
ceb	Cebuano	Visaya|Bisaya		ceb			
cel	Keltiska språk (övriga)			cel			
cha	Chamorro			cha			
chb	Chibcha			chb			
che	Tjetjenska			che			
chg	Chagatai			chg			
chi	Kinesiska			chi	zho	zho	
chk	Chuukesiska	Truk		chk			
chm	Mariska	Mari|Tjeremissiska		chm			
chn	Chinook			chn			
cho	Choctaw			cho			
chp	Dene Suline (Chipewyan)			chp			
chr	Cherokesiska			chr			
chu	Fornkyrkslaviska			chu			
chv	Tjuvasjiska			chv			
chy	Cheyenne			chy			
cmc	Chamicspråk			cmc			
cnr	Montenegrinska			cnr			
cop	Koptiska			cop			
cor	Korniska			cor			
cos	Korsikanska			cos			
cpe	Kreol- och Pidginspråk, engelskbaserade (övriga)			cpe			
cpf	Kreol- och Pidginspråk, franskbaserade (övriga)			cpf			
cpp	Kreol- och Pidginspråk, portugisiskbaserade (övriga)			cpp			
cre	Cree	Cri		cre			
crh	Krimtatariska	Krimturkiska		crh			
crp	Kreol- och Pidginspråk (övriga)			crp			
csb	Kasjubiska			csb			
cus	Kusjitiska språk (övriga)			cus			
cze	Tjeckiska			cze	ces	ces	
dak	Dakota			dak			
dan	Danska			dan			
dar	Darginska	Dargwa		dar			
day	Dayak	Dajakiska		day			
del	Delaware			del			
den	Slave			den			
dgr	Dogrib			dgr			
din	Dinka			din			
div	Divehi			div			
doi	Dogri			doi			
dra	Dravidiska språk (övriga)			dra			
dsb	Lågsorbiska			dsb			
dua	Duala			dua			
dum	Medelnederländska		Ca 1050-1350	dum			
dut	Nederländska			dut	nld	nld	
dyu	Dioula	Dyula		dyu			
dzo	dzongkha	Bhutanesiska		dzo			
efi	Efik			efi			
egy	Egyptiska	Fornegyptiska	Hit hör bl.a. hieroglyglyfer samt hieatisk och demotisk skrift	egy			
eka	Ekajuk			eka			
elx	Elamitiska			elx			
eng	Engelska			eng			
enm	Medelengelska		Ca 1100-1500	enm			
epo	Esperanto			epo			
est	Estniska			est			
ewe	Ewe			ewe			
ewo	Ewondo			ewo			
fan	Fang			fan			
fao	Färöiska			fao			
fat	Fanti			fat			
fij	Fidjianska			fij			
fil	Filipino			fil			
fin	Finska			fin			
fit	Meänkieli					fit	
fiu	Finsk-ugriska språk (övriga)			fiu			
fon	Fon			fon			
fre	Franska			fre	fra	fra	
frm	Medelfranska		Ca 1300-1600	frm			
fro	Fornfranska		Ca 842-1300	fro			
frr	Nordfrisiska			frr			
frs	Östfrisiska			frs			
fry	Frisiska			fry			
ful	Fula			ful			
fur	Friuliska			fur			
gaa	Ga			gaa			
gay	Gayo			gay			
gba	Gbaya			gba			
gem	Germanska språk (övriga)			gem			
geo	Georgiska			geo	kat	kat	
ger	Tyska			ger	deu	deu	
gez	Ge'ez	Fornetiopiska		gez			
gil	Kiribatiska	Gilbertesiska		gil			
gla	Skotsk gäliska	Höglandsskotska		gla			
gle	Iriska			gle			
glg	Galiciska	Manniska		gig			
glv	Manx			glv			
gmh	Medelhögtyska		ca 1050-1500	gmh			
goh	Fornhögtyska		ca 750-1050	goh			
gon	Gond			gon			
gor	Gorontalo			gor			
got	Gotiska			got			
grb	Grebo			grb			
grc	Grekiska, klassisk		-1453	grc			
gre	Nygrekiska		1453-	gre	ell	ell	
grn	Guaraní			grn			
gsw	Schweizertyska			gsw			
guj	Gujarati			guj			
gwi	Gwich'in			gwi			
hai	Haida			hai			
hat	Haitisk kreol			hat			
hau	Hausa			hau			
haw	Hawaiiska			haw			
heb	Hebreiska			heb			
her	Herero			her			
hil	Hiligaynon			hil			
him	Pahari	Himachali		him			
hin	Hindi			hin			
hit	Hettitiska språk			hit			
hmn	Hmongspråk			hmn			
hmo	Hiri Motu			hmo			
hrv	Kroatiska			hrv			
hsb	Högsorbiska			hsb			
hun	Ungerska			hun			
hup	Hupa			hup			
iba	Iban			iba			
ibo	Ibo	Igbo		ibo			
ice	Isländska			ice	isl	isl	
ido	Ido			ido			
iii	Sichuan Yi			iii			
ijo	Ijo			ijo			
iku	Inuktitut			iku			
ile	Interlingue	Occidental		ile			
ilo	Ilokano	Ilocano		ilo			
ina	Interlingua		International Auxiliary Language Association; konstgjort språk	ina			
inc	Indo-ariska språk (övriga)			inc			
ind	Indonesiska			ind			
ine	Indoeuropeiska språk (övriga)			ine			
inh	Ingusjiska			inh			
ipk	Iñupiaq	Inupiaq|Inupiak|Inupiatun		ipk			
ira	Iranska språk (övriga)			ira			
iro	Irokesiska språk (övriga)			iro			
ita	Italienska			ita			
jav	Javanska			jav			
jbo	Lojban		Konstgjort språk	jbo			
jpn	Japanska			jpn			
jpr	Judepersiska			jpr			
jrb	Judearabiska			jrb			
kaa	Karakalpakiska			kaa			
kab	Kabyliska			kab			
kac	Kachin			kac			
kal	Grönländska	Kalaallisut		kal			
kam	Kamba			kam			
kan	Kannada	Kanaresiska		kan			
kar	Karenspråk			kar			
kas	Kashmiri			kas			
kau	Kanuri			kau			
kaw	Fornjavanska	Kawi		kaw			
kaz	Kazakiska	Kazach		kaz			
kbd	Kabardinska	Östtjerkessiska|Östcircassiska		kbd			
kha	Khasi			kha			
khi	Khoisanspråk			khi			
